NOMBRE_PRODUCTO,PALABRA,RELACION,FRECUENCIA,MES
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,BRILLO,9,ENERO
"Samsung Galaxy Express, Gray 8GB (AT&T)",AUDIO,PARLANTE,8,ENERO
"Samsung Galaxy Express, Gray 8GB (AT&T)",COBERTURA,LLAMADA,6,ENERO
"Samsung Galaxy Express, Gray 8GB (AT&T)",VOLUMEN ,BAJO,9,ENERO
"Samsung Galaxy Express, Gray 8GB (AT&T)",CAJA,GRANDE,4,FEBRERO
"Samsung Galaxy Express, Gray 8GB (AT&T)",BATERIA,BAJA,5,FEBRERO
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,PEQUEÑA,7,FEBRERO
"Samsung Galaxy Express, Gray 8GB (AT&T)",SEGURIDAD,BUENA,9,FEBRERO
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,BRILLO,8,MARZO
"Samsung Galaxy Express, Gray 8GB (AT&T)",AUDIO,PARLANTE,7,MARZO
"Samsung Galaxy Express, Gray 8GB (AT&T)",BATERIA,BAJA,5,MARZO
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,PEQUEÑA,4,MARZO
"Samsung Galaxy Express, Gray 8GB (AT&T)",SEGURIDAD,BUENA,3,ABRIL
"Samsung Galaxy Express, Gray 8GB (AT&T)",COBERTURA,LLAMADA,9,ABRIL
"Samsung Galaxy Express, Gray 8GB (AT&T)",VOLUMEN ,BAJO,6,ABRIL
"Samsung Galaxy Express, Gray 8GB (AT&T)",CAJA,GRANDE,4,ABRIL
"Samsung Galaxy Express, Gray 8GB (AT&T)",COBERTURA,LLAMADA,8,MAYO
"Samsung Galaxy Express, Gray 8GB (AT&T)",VOLUMEN ,BAJO,7,MAYO
"Samsung Galaxy Express, Gray 8GB (AT&T)",CAJA,GRANDE,8,MAYO
"Samsung Galaxy Express, Gray 8GB (AT&T)",BATERIA,BAJA,9,MAYO
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,PEQUEÑA,8,JUNIO
"Samsung Galaxy Express, Gray 8GB (AT&T)",SEGURIDAD,BUENA,7,JUNIO
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,PEQUEÑA,6,JUNIO
"Samsung Galaxy Express, Gray 8GB (AT&T)",AUDIO,PARLANTE,5,JUNIO
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,BRILLO,4,JULIO
"Samsung Galaxy Express, Gray 8GB (AT&T)",AUDIO,PARLANTE,3,JULIO
"Samsung Galaxy Express, Gray 8GB (AT&T)",PANTALLA,BRILLO,2,JULIO
"Samsung Galaxy Express, Gray 8GB (AT&T)",AUDIO,PARLANTE,9,JULIO
